CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,GardenName,Address,NeighborhoodName
51,B,NY232,N/A,40.684958,-74.002726,B408,NY,Human Compass Community  Garden Inc.,207-209 Columbia Street,Red Hook
N/A,M,NY233,N/A,N/A,N/A,NA,NY,I.S. 143 - Penny Harvest Garden,511 & 516 West 182nd Street,Washington Heights
36901,X,NY234,N/A,40.843546,-73.889755,NA,NY,I.S. 193X,1919 Prospect Avenue,N/A
N/A,M,NY235,N/A,N/A,N/A,NA,NY,I.S. 218 - Swindler Cove Garden,Harlem River Drive/Dyckman Street,Washington Heights
N/A,B,NY236,N/A,N/A,N/A,NA,NY,I.S. 227 - Shallow's School Yard Santuaries,6500 16th Avenue & 65th Street,N/A
1104,B,NY237,N/A,40.66011,-73.885387,NA,NY,I.S. 311 - The Essence School,"800 Van Siclen Avenue, Brooklyn, NY 11207",N/A
490,B,NY238,N/A,40.638686,-73.971651,NA,NY,I.S. 62 - The Greening of Ditmas,700 Cortelyou Road,Kensington
529,B,NY239,N/A,40.703624,-73.953146,NA,NY,I.S. 71,215 Heyward Street,Williamsburg
249,M,NY240,N/A,40.839305,-73.936159,NA,NY,I.S. 90 Miracle Sisters Garden,"21 Jumel Place, NY NY 10032",Washington Heights
430,B,NY241,N/A,40.60754,-73.984661,NA,NY,I.S. 96,99 Avenue P,N/A
309,B,NY242,N/A,40.676312,-73.933182,NA,NY,Imani II Garden (Schenectady Avenue Community Garden),87-91 Schenectady Avenue,Crown Heights
73,X,NY243,N/A,40.814909,-73.906522,X314,NY,Isla Verde Garden,625 Wales Avenue,N/A
185,X,NY244,N/A,40.822474,-73.907194,NA,NY,J.H.S. 120,890 Cauldwell Avenue,N/A
211,B,NY245,N/A,40.696324,-73.97578,NA,NY,J.H.S. 265,101 Park Avenue,N/A
196,M,NY246,N/A,40.803013,-73.940152,M364,NY,Jackie Robinson Community Garden,103 East 122nd Street,N/A
N/A,X,NY247,N/A,N/A,N/A,X319,NY,Jackson Forest/Morrisania Concerned Citizens,722 & 736 Home Street,Morrisania
185,X,NY248,N/A,40.825997,-73.906723,NA,NY,Jacqueline Denise Davis Garden,1022-1024 Boston Road (north of E 165th Street),N/A
133,X,NY249,N/A,40.821675,-73.903546,NA,NY,Jane Adams Vocational H.S. - 4 Seasons Garden,900 Tinton Avenue,N/A
233,B,NY250,N/A,40.687596,-73.958223,NA,NY,Jane Bailey Memorial Garden,327-329 Greene Avenue,N/A
169,X,NY251,N/A,40.837907,-73.903201,X320,NY,Jardin de la Familia,1507 Washington Avenue,N/A
N/A,X,NY252,N/A,N/A,N/A,NA,NY,Jardin la Roca/Rock Garden,160 Elton Avenue,Melrose
1162,B,NY253,N/A,40.670461,-73.886004,B477,NY,Jerome Gardens,447 Jerome Street,N/A
1150,B,NY254,N/A,40.672292,-73.888329,B478,NY,Jerry and the Senior Gents of E.N.Y.,349 Schenck Avenue,East New York
902,B,NY255,N/A,40.667016,-73.91396,B511,NY,Jes Good Rewards Children's Garden,155 Amboy Street,Brownsville
N/A,X,NY256,N/A,N/A,N/A,NA,NY,JFK High School - Enchanted Garden,JFK High School 99 Terrace View Avenue,Marble Hill
N/A,X,NY257,N/A,N/A,N/A,NA,NY,Jim Mackey Eastchester Road Community Garden,E/S Eastchester Road & N/O E 222nd Street,N/A
13302,R,NY258,N/A,40.634234,-74.12114,R146,NY,Joe Holzka Community Garden,1161 Castleton Avenue,N/A
809,Q,NY259,N/A,40.738139,-73.824944,NA,NY,John Bowne High School,"63-25 Main Street  Flushing, NY 11367",N/A
155,B,NY260,N/A,40.669629,-73.979287,NA,NY,John Jay High School,"237 7th Avenue.  Brooklyn, NY 11215",Park Slope
287,B,NY261,N/A,40.696355,-73.93473,NA,NY,John the Baptist Community Center Inc.,10 Stuyvesant Avenue,N/A
N/A,B,NY262,N/A,N/A,N/A,B509,NY,Jordan Magic Garden - DPR,Belmont Ave & Van Siclen Ave,East New York
125,X,NY263,N/A,40.827899,-73.890901,NA,NY,Jose Gonzalez House Community Garden,1175 Hoe Avenue,N/A
222,M,NY264,N/A,40.807407,-73.950588,M351,NY,Joseph Daniel Wilson Memorial Gardens,219 W. 122nd Street,N/A
2202,M,NY265,N/A,40.722502,-73.982582,M345,NY,Kenkeleba House Garden,212 E. 3rd Street,East Village
281,B,NY266,N/A,40.692034,-73.93917,B398,NY,Kosciusko St. Comm. Pk./Learning Center,385-389 Kosciusko Street,Bed-Stuy
363,X,NY267,N/A,40.843482,-73.88086,X266A,NY,Krystal Community Garden,2085-2093 Vyse Avenue.,N/A
194,M,NY268,N/A,40.799606,-73.937894,NA,NY,La Casita,223 E. 119th Street,East Harlem
184,M,NY269,N/A,40.798797,-73.944151,M383,NY,La Cuevita Community Garden,71 East 115th Street,East Harlem
N/A,X,NY270,N/A,N/A,N/A,X145,NY,La Finca Del Sur/ South Bronx Farmers,138th & Grand Concourse,N/A
427,B,NY271,N/A,40.704359,-73.929634,NA,NY,La Finea,1036 Flushing Avenue,N/A
189,X,NY272,N/A,40.832115,-73.929249,X327,NY,La Isla,96-98 W. 163rd Street,Highbridge
189,M,NY273,N/A,40.798286,-73.962719,M373,NY,La Perla Garden,76 W. 105th Street,Upper West Side
2602,M,NY274,N/A,40.725815,-73.979248,M325,NY,La Plaza Cultural-Armando Perez,632-650 E. 9th Street,East Village
5501,M,NY275,N/A,40.727809,-73.999159,NA,NY,LaGuardia Corner Community Garden,511 LaGuardia Place,Greenwich Village
199,X,NY276,N/A,40.835464,-73.925809,X328,NY,Las Casitas Community Garden,1126 - 1140 Woodycrest Avenue,Highbridge
69,X,NY277,N/A,40.821362,-73.914154,X337,NY,Latinos Unidos,427 East 157th Street,N/A
24501,X,NY278,N/A,40.852536,-73.913333,NA,NY,Learning Tree,1885 University Avenue (behind Calvary Methodist Church),N/A
227,B,NY279,N/A,40.6806,-73.957474,B479,NY,Lefferts Place Block Association,162 Lefferts Place,N/A
196,M,NY280,N/A,40.802809,-73.938552,M346,NY,"Life Spire (CRMD, Inc.)",2015 Lexington Avenue,Harlem
800,B,NY281,N/A,40.661467,-73.952239,B480,NY,Lincoln Road Garden,316 Lincoln Road,N/A
131,B,NY282,N/A,40.677378,-73.978845,NA,NY,Lincoln-Berkeley Comm. Garden,20 Lincoln Place,Park Slope
N/A,Q,NY283,N/A,N/A,N/A,NA,NY,Linden Boulevard Community Garden,178th Street & Linden Boulevard,N/A
417,B,NY284,N/A,40.693162,-73.919649,NA,NY,Linden-Bushwick Garden,113 Linden Street,Bushwick
17402,M,NY285,N/A,40.796976,-73.947034,NA,NY,Little Blue House,1675 Madison Avenue,East Harlem
3602,M,NY286,N/A,40.723832,-73.991576,M326,NY,Liz Christy Garden,110 E Houston Street,Lower East Side
N/A,Q,NY287,N/A,N/A,N/A,NA,NY,Long Island City Roots Community Garden,47th Avenue.,N/A
2601,M,NY288,N/A,40.722453,-73.982423,M357,NY,Los Amigos,221 East 3rd Street,Lower East Side
178,M,NY289,N/A,40.796043,-73.932422,NA,NY,Los Amigos Garden,326 Pleasant Avenue,East Harlem
2602,M,NY290,N/A,40.724508,-73.979851,M361,NY,Lower East Side Ecology Center,213 E. 7th Street,East Village
6,M,NY291,N/A,40.712962,-73.990026,NA,NY,Lower East Side People Care,25 Rutgers Street,Lower East Side
16,M,NY292,N/A,40.716553,-73.993092,NA,NY,M.S. 131,"100 Hester Street  NY, NY 10002",Lower East Side
310,X,NY293,N/A,40.863735,-73.83607,NA,NY,M.S. 144,2545 Gunther Avenue,N/A
N/A,Q,NY294,N/A,N/A,N/A,NA,NY,M.S. 210 - YMCA Beacon Center Garden,"93-11 101st Street, Ozone Park, NY 11416",Ozone Park
163,B,NY295,N/A,40.676094,-73.97038,NA,NY,M.S. 340,227 Sterling Place,Prospect Heights
876,B,NY296,N/A,40.662447,-73.936382,NA,NY,M.S. 391 Mahalia Jackson,790 East New York Avenue,N/A
193,M,NY297,N/A,40.80069,-73.962238,NA,NY,M.S. 54 - Booker T Washington Garden,103 West 108th Street,East Harlem
329,B,NY298,N/A,40.664007,-73.94922,NA,NY,M.S. 61 -  Atwell,400 Empire Boulevard.,N/A
375,B,NY299,N/A,40.687995,-73.922006,B499,NY,Madison Community GreenThumb Garden,894 Madison Street,N/A
435,B,NY300,N/A,40.694952,-73.913174,B481,NY,Madison Square Garden,1262-1264 Madison Street,N/A
397,B,NY301,N/A,40.688959,-73.919063,NA,NY,Madison Street Association,974 Madison Street,N/A
229,B,NY302,N/A,40.684145,-73.955485,B482,NY,Madison Street Block Association,88-90 Madison Street,N/A
233,M,NY303,N/A,40.828472,-73.947418,NA,NY,Maggies Garden,564 West 149th Street,Washington Heights
166,M,NY304,N/A,40.788624,-73.948933,M327,NY,Maggies Garden (formerly Ebenezer Wesleyan Methodist Church Garden),1574 Lexington Avenue,East Harlem
182,M,NY305,N/A,40.800245,-73.942524,NA,NY,Magic Garden,1665-71 Park Avenue,East Harlem
381,Q,NY306,N/A,40.757942,-73.858287,NA,NY,Malcom X Day Care Center,111-26 Northern Boulevard.,N/A
221,B,NY307,N/A,40.675251,-73.953404,NA,NY,MaMa Dee's Garden,1397 Bedford Avenue,Crown Heights
1192,B,NY308,N/A,40.674461,-73.878498,B483,NY,Manleys Place,2539 Pitkin Avenue,East New York
5001,X,NY309,N/A,40.824911,-73.875459,NA,NY,Manor Avenue Seniors Garden,1025 Manor Avenue,N/A
N/A,B,NY310,N/A,N/A,N/A,B510,NY,Marcus Garvey Tenants Association,Strauss Street/N/O Pitkin Avenue,Brownsville
226,M,NY311,N/A,40.813563,-73.943564,M297A,NY,Margrichantie Memorial Garden,155-159 W. 133rd Street,N/A
N/A,X,NY312,N/A,N/A,N/A,NA,NY,Maritime Academy @ P.S. 10,"2770 Lafayette Avenue, Bronx, NY 10465",Schuylerville
N/A,Q,NY313,N/A,N/A,N/A,NA,NY,McIntosh Neighborhood Assoc.,S/E/C 100th Street & McIntosh Street,N/A
254,Q,NY314,N/A,40.695304,-73.791536,Q493,NY,McKinleys Childrens Garden,108-56 Union Hall Street,Jamaica
908,B,NY315,N/A,40.673067,-73.905437,NA,NY,McLeods Community Garden (formerly Powell Street Block Association - Liberty Ave),130 Liberty Avenue,N/A
69,X,NY316,N/A,40.820733,-73.917663,NA,NY,Members Group (Dalia Group Garden),724 Courtlandt Avenue,Melrose
N/A,Q,NY317,N/A,N/A,N/A,NA,NY,"Merrick-Marsden Neighbors Association., Inc.",11818-11820 Merrick Boulevard.,N/A
N/A,M,NY318,N/A,N/A,N/A,M105A,NY,Mfinda Kalunga Garden,Rivington Street Crossover (in Sarah Roosevelt Park),East Village
119,X,NY319,N/A,40.821522,-73.889293,NA,NY,Mildred T. Rhodebeck Garden (Garden of Eden),927 Faile Street,N/A
N/A,X,NY320,N/A,N/A,N/A,X329,NY,Miracle Garden - Bronx,Marmion Avenue,N/A
3002,M,NY321,N/A,40.722917,-73.983563,M314,NY,Miracle Garden - Manhattan,194-196 East 3rd Street,East Village
233,M,NY322,N/A,40.827075,-73.947928,NA,NY,Mo Pals,545 West 147th Street,Hamilton Heights
193,M,NY323,N/A,40.799757,-73.962476,M347,NY,Mobilization For Change Community Garden,955 Columbus Avenue,Upper West Side
153,X,NY324,N/A,40.831037,-73.894748,X342,NY,Model T,1312 Bristow Street.,N/A
24301,M,NY325,N/A,40.835442,-73.939039,M348,NY,Morris Jumel Community Garden,455-457 W 162nd Street,Washington Heights
N/A,X,NY326,N/A,N/A,N/A,X275,NY,Mosaic Center (Success Garden),1315-31 Odgen Avenue,N/A
297,B,NY327,N/A,40.682591,-73.931996,NA,NY,Mt. Lebanon Baptist Church,354 Stuyvesant Avenue.,Bed-Stuy
1162,B,NY328,N/A,40.668571,-73.886439,B514,NY,Nehemiah Ten GreenThumb Block Association,565 Barbey Street,East New York
65,X,NY329,N/A,40.817871,-73.918523,NA,NY,Neighborhood Advisory Committee,360-362 E. 151st Street,Melrose
N/A,M,NY330,N/A,N/A,N/A,NA,NY,Senior Citizens Sculpture Garden Park,West 153rd Street,Hamilton Heights
309,B,NY331,N/A,40.674258,-73.932456,NA,NY,Neighborhood Community Garden,1123 Saint Marks Avenue,N/A
N/A,M,NY332,N/A,N/A,N/A,M338,NY,Neighbors of Vega Baja,E. 109th Street,East Harlem
N/A,M,NY333,N/A,N/A,N/A,M349,NY,New 123rd Street Block Association,"112,114 & 116 W. 123rd Street",Harlem
387,B,NY334,N/A,40.688836,-73.92789,B518,NY,New Age Pride (Victory Garden's Group),953 Gates Avenue,Bed-Stuy
N/A,B,NY335,N/A,N/A,N/A,NA,NY,New Harvest (Vrn/Mrcy/Tmpks B.A.),"125,123,121 Vernon Avenue",Bed-Stuy
N/A,X,NY336,N/A,N/A,N/A,X241,NY,New Hoe Avenue Garden,958 New Hoe Avenue,N/A
1124,B,NY337,N/A,40.666227,-73.886797,B449,NY,New Vision Garden,590-594 Schenck Avenue.,East New York
916,B,NY338,N/A,40.659785,-73.908199,B513,NY,Newport Gardens,823 Rockaway Avenue,Brownsville
N/A,B,NY339,N/A,N/A,N/A,NA,NY,Nicks Garden,Lorimer and Bayard Streets,N/A
161,X,NY340,N/A,40.834816,-73.885082,X273,NY,North LUBAs Community Rock Garden,1665 Longfellow Avenue,N/A
519,B,NY341,N/A,40.716007,-73.957527,NA,NY,Northside Community Garden,599 Driggs Avenue,Williamsburg
135,M,NY342,N/A,40.766411,-73.991989,NA,NY,Oasis Community Garden (Hellâs Kitchen),511-519 W. 52nd Street,Hell's Kitchen
481,B,NY343,N/A,40.713243,-73.938822,B425,NY,Olive Garden,21-25 Olive Street,N/A
34,M,NY344,N/A,40.729801,-73.983057,M321A,NY,Open Road Park (LES),404-16 East 12th Street,East Village
2601,M,NY345,N/A,40.721472,-73.978275,M354,NY,Orchard Alley,350-54 East 4th Street,East Village
N/A,B,NY346,N/A,N/A,N/A,B024,NY,Orient Grove,Metropolitan Ave. and Orient Ave.,N/A
1150,B,NY347,N/A,40.673773,-73.887768,B521,NY,Oriental Garden,369-371 Barbey Street & 326-328 Jerome St,East New York
222,M,NY348,N/A,40.807872,-73.951693,M365,NY,Our Little Green Acre,275-277 West 122nd Street,N/A
425,X,NY349,N/A,40.870002,-73.878875,NA,NY,P.S. / M.S. 20,3050 Webster Avenue,N/A
167,B,NY350,N/A,40.663251,-73.981289,NA,NY,P.S. 107 - Rainbow Garden,1301 8th Avenue,N/A
89,M,NY351,N/A,40.744349,-74.000253,NA,NY,P.S. 11,320 West 21st Street  NY NY 10011,Chelsey
133,M,NY352,N/A,40.765878,-73.988823,NA,NY,P.S. 111,440 W. 53rd Street,Hell's Kitchen
261,M,NY353,N/A,40.846542,-73.935205,NA,NY,P.S. 115M,586 W. 177th Street,N/A
734,B,NY354,N/A,40.625662,-73.938265,NA,NY,P.S. 119,3829 Avenue K,N/A
80301,Q,NY355,N/A,40.745526,-73.829309,NA,NY,P.S. 120Q - Millenium Garden,58-01 136th Street,Flushing
373,B,NY356,N/A,40.682458,-73.917088,NA,NY,P.S. 137,121 Saratoga Avenue,Bed-Stuy
74,X,NY357,N/A,40.822665,-73.853366,NA,NY,P.S. 138X,2060 Lafayette Avenue,N/A
693,Q,NY358,N/A,40.72814,-73.863582,NA,NY,P.S. 139Q,93-06 63rd Drive,N/A
1158,B,NY359,N/A,40.669564,-73.892328,B442,NY,P.S. 149 - Artsy Bloom Community Garden,365-67 Wyona Street,East New York
369,B,NY360,N/A,40.677415,-73.908734,NA,NY,P.S. 155,1355 Herkimer Street,N/A
61,X,NY361,N/A,40.823174,-73.923326,NA,NY,P.S. 156 Garden,750 Concourse Village West,N/A
232,B,NY362,N/A,40.637486,-73.985955,NA,NY,P.S. 164 - Stepping Into the New Millenium,4211 14th Avenue,N/A
470,B,NY363,N/A,40.627029,-73.989672,NA,NY,P.S. 180 - Our Secret Garden,5601-23 16th Avenue  Brooklyn NY 11204,N/A
856,B,NY364,N/A,40.648215,-73.946374,NA,NY,P.S. 181K - Garden Club,1023 New York Avenue,N/A
186,M,NY365,N/A,40.798511,-73.949251,NA,NY,P.S. 185/208M,20 W. 112th Street,Upper West Side
151,X,NY366,N/A,40.831804,-73.898396,X330,NY,P.S. 186 - Day Treatment Program,745 Jennings Street,N/A
527,B,NY367,N/A,40.709647,-73.95465,NA,NY,P.S. 19K - Kid's Garden,"325 South 3rd Street Brooklyn, NY 11211",Williamsburg
N/A,Q,NY368,N/A,N/A,N/A,NA,NY,P.S. 19Q,"99th Street and Roosevelt Avenue.  Queens, NY 11368",Corona
236,M,NY369,N/A,40.824714,-73.936841,NA,NY,P.S. 200,2599 7th Avenue.  NY NY 10039,Central Harlem
190,M,NY370,N/A,40.80247,-73.946716,NA,NY,P.S. 207/149,34 W. 118th Street,N/A
840,B,NY371,N/A,40.642031,-73.931151,NA,NY,P.S. 208,"4801 Avenue D  Brooklyn, NY 11234",N/A
249,X,NY372,N/A,40.856586,-73.916198,NA,NY,P.S. 226 Garden,1950 Sedgwick Avenue,N/A
395,X,NY373,N/A,40.853423,-73.894463,NA,NY,P.S. 23,2175 Washington Avenue,N/A
814,B,NY374,N/A,40.654704,-73.941089,NA,NY,P.S. 235,"525 Lenox Road, Brooklyn NY 11203",North Flatbush
220,M,NY375,N/A,40.8063,-73.948013,NA,NY,P.S. 242,"134 West 122nd Street, NY, NY 10027",Central Harlem
309,B,NY376,N/A,40.676094,-73.935688,NA,NY,P.S. 243 - Weeksville School,1580 Dean Street,Crown Heights
401,X,NY377,N/A,40.865593,-73.894758,NA,NY,P.S. 246,2641 Grand Concourse,N/A
258,B,NY378,N/A,40.612273,-73.986713,NA,NY,P.S. 247K,7000 21st Avenue,N/A
506,B,NY379,N/A,40.64971,-73.966046,NA,NY,P.S. 249,18 Marlborough Road,N/A
505,B,NY380,N/A,40.707104,-73.945475,NA,NY,P.S. 250,108 Montrose Avenue,N/A
866,B,NY381,N/A,40.657131,-73.928018,NA,NY,P.S. 268,133 E. 53rd Street,N/A
59,B,NY382,N/A,40.677564,-74.005166,NA,NY,P.S. 27 / M.S. 826,27 Huntington Street Brooklyn. NY 11231,N/A
N/A,X,NY383,N/A,N/A,N/A,NA,NY,P.S. 30X,S/E/C Brook Avenue & E. 141 Street,N/A
772,B,NY384,N/A,40.633232,-73.954655,NA,NY,P.S. 315K,2310 Glenwood  Rd.,N/A
N/A,M,NY385,N/A,N/A,N/A,M113,NY,P.S. 361 - The Children's Garden,East 12th Street,East Village
119,B,NY386,N/A,40.675628,-73.985634,NA,NY,P.S. 372@834 / The Children's School,219 First Street,N/A
24502,X,NY387,N/A,40.854701,-73.913197,NA,NY,P.S. 396 / M.S. 390 X,"1930 Andrews Avenue, Bronx NY 10453",Kingbridge Heights
824,B,NY388,N/A,40.648044,-73.951891,NA,NY,P.S. 399,2707 Albemarle Road,N/A
245,M,NY389,N/A,40.834899,-73.941085,NA,NY,P.S. 4 - Duke Ellington Harmony Garden,500 West 160th Street,Harlem
1104,B,NY390,N/A,40.657212,-73.888852,NA,NY,P.S. 4 at P.S. 843,530 Stanley Avenue,East New York
254,Q,NY391,N/A,40.694119,-73.797003,NA,NY,P.S. 48Q,155-02 108th Avenue,N/A
663,Q,NY392,N/A,40.719071,-73.875437,NA,NY,P.S. 49Q,79-15 Penelope Avenue,N/A
1150,B,NY393,N/A,40.674778,-73.885228,B417,NY,P.S. 4K - Paradise Garden,676-696 Glenmore Avenue,East New York
129,M,NY394,N/A,40.762061,-73.995307,NA,NY,P.S. 51,520 West 45th Street  NY  NY 10036,Clinton Hill
1126,B,NY395,N/A,40.666063,-73.890503,B485,NY,P.S. 53,522 Bradford Street,East New York
794,B,NY396,N/A,40.649347,-73.955793,NA,NY,P.S. 6 - Operation Push,2242-62 Bedford Avenue,N/A
N/A,X,NY397,N/A,N/A,N/A,NA,NY,P.S. 63 X,"1261 Franklyn Avenue.  Bronx, NY 10456",Morrisania
N/A,X,NY398,N/A,N/A,N/A,NA,NY,P.S. 65 - Garden Club,677 East 141st,N/A
2901,B,NY399,N/A,40.695633,-73.978215,NA,NY,P.S. 67 - Charles Dorsey School,51 St. Edwards Street,N/A
39,B,NY400,N/A,40.686419,-73.979444,NA,NY,P.S. 753K @ The Bklyn. School for Career Development,372 Schermerhorn Street,Boerum Hill
220,M,NY401,N/A,40.80598,-73.951098,M356,NY,P.S. 76 - Garden of Perserverance,203 W. 120th Street   NY NY 10027,Harlem
12902,B,NY402,N/A,40.678983,-73.976497,NA,NY,P.S. 77K @ P. S 902K,62 Park Place,Park Slope
448,Q,NY403,N/A,40.708898,-73.803938,NA,NY,P.S. 86Q,87-41 Parsons Boulevard.,N/A
535,Q,NY404,N/A,40.718935,-73.912208,NA,NY,P.S. 9 - Enis Garden,58-74 57th Street,N/A
205,B,NY405,N/A,40.678297,-73.965541,NA,NY,P.S. 9 - Winston Robins Memorial Garden,"80 Underhill Avenue  Broolyn, NY   11328",Prospect Heights
38301,X,NY406,N/A,40.857067,-73.898936,NA,NY,P.S. 9 X,"230 East 183rd Street, Bronx NY 10458",Grand Concourse
180,Q,NY407,N/A,40.674991,-73.808371,NA,NY,P.S. 96Q - Garden of Hope,130-01 Rockaway Boulevard.,So. Ozone Park
291,M,NY408,N/A,40.866706,-73.923948,NA,NY,P.S./I.S. 176,4862 Broadway,N/A
23802,M,NY409,N/A,40.763894,-73.947916,NA,NY,P.S./I.S. 217 - Rooselvelt Island School,645 Main Street,Roosevelt Island
43,B,NY410,N/A,40.690145,-73.989132,NA,NY,Pacific High School,112 Schermerhorn Street,Boerum Hill
39,X,NY411,N/A,40.807883,-73.917885,X285,NY,Padre Plaza (Success Garden),541-545 E. 139th Street,N/A
1164,B,NY412,N/A,40.671292,-73.882217,NA,NY,Pagans Garden (Linwood Street Block Association),992 Sutter Avenue,N/A
71,X,NY413,N/A,40.822057,-73.908481,NA,NY,Palmas del Caribe (Eagle Avenue Community Garden),869 Eagle Avenue,Melrose
188,M,NY414,N/A,40.799617,-73.937963,NA,NY,Papos Garden,218-220 E. 119th Street,East Harlem
125,X,NY415,N/A,40.82664,-73.893877,NA,NY,Paradise on Earth Garden,1101-1105 Fox Street,N/A
2601,M,NY416,N/A,40.722038,-73.97961,NA,NY,Parque De Tranquilidad,314-318 East 4th Street,East Village
71,X,NY417,N/A,40.81478,-73.914459,NA,NY,Passages Academy,511 E. 149th Street & 511 E. 150th Street,N/A
387,B,NY418,N/A,40.690708,-73.927603,NA,NY,Patchen Avenue United Block Association,49 Patchen Avenue,Bed-Stuy
N/A,B,NY419,N/A,N/A,N/A,B500,NY,Patrick Van Doren Pocket Park,123 Malcolm X Avenue,Bed-Stuy
N/A,R,NY420,N/A,N/A,N/A,NA,NY,Pavilion Horticultural Garden,Brownell Street #11,N/A
184,M,NY421,N/A,40.800487,-73.943961,M367,NY,Peaceful Valley,50-52 East 117th Street,East Harlem
2202,M,NY422,N/A,40.72149,-73.98216,M350,NY,Peachtree Garden,236-238 East 2nd Street,East Village
N/A,Q,NY423,N/A,N/A,N/A,NA,NY,Pembroke Avenue Community Garden (Van Nostrand Court Garden),E/S Pembroke Avenue,N/A
395,B,NY424,N/A,40.691653,-73.925825,NA,NY,People's Garden (Youth City Little League),1237-1241 Broadway,Bed-Stuy
N/A,B,NY425,N/A,N/A,N/A,B517,NY,Phoenix Community Garden (formerly Somers Street),Corner of Fulton & Somers Street,N/A
N/A,M,NY426,N/A,N/A,N/A,M299,NY,Pleasant Village Community Garden,342-353 Pleasant Avenue. /502 E. 119th Street,East Harlem
N/A,B,NY427,N/A,N/A,N/A,B531,NY,Plenty: Food For All,Hunterfly Place and Atlantic Avenue,N/A
974,B,NY428,N/A,40.649609,-73.897009,B504,NY,Ponderosa Garden,664 East 105th Street,N/A
N/A,B,NY429,N/A,N/A,N/A,NA,NY,Poplar Street Community Garden,Poplar Street,Brooklyn Heights
1152,B,NY430,N/A,40.671728,-73.890057,B509,NY,Poppa & Momma Jones Historical Garden,337 Van Siclen Avenue,East New York
920,B,NY431,N/A,40.658459,-73.901057,B486,NY,Powell Street Block Association - Powell St,633 Powell Street,Brownsville
N/A,B,NY432,N/A,N/A,N/A,B516,NY,Powell Street Garden-Livonia,Powell Street,Brownsville
481,B,NY433,N/A,40.712955,-73.939721,B426,NY,Powers Street Garden,276-278 Powers Street,N/A
363,B,NY434,N/A,40.671827,-73.920811,B487,NY,Preston Community Garden,1711 Park Place,Brownsville
N/A,Q,NY435,N/A,N/A,N/A,Q475,NY,Project Eden,Kessel Street,Forest Hills
507,B,NY436,N/A,40.702631,-73.948631,B423,NY,Project Roots Garden,94 - 110 Walton St.,N/A
1130,B,NY437,N/A,40.659475,-73.895603,B506,NY,Prophecy Garden Church of God of Prophecy,43-69 Malta Street,East New York
205,B,NY438,N/A,40.678319,-73.967513,B524,NY,Prospect Heights Community Farm,252-256 St. Marks Avenue,Prospect Heights
17402,M,NY439,N/A,40.796474,-73.9474,M384,NY,Pueblo Unido,1659 Madison Avenue,East Harlem
141,X,NY440,N/A,40.823086,-73.914947,X317,NY,Rainbow Block Association.,379 East 159th Street,Melrose
359,B,NY441,N/A,40.670152,-73.923242,NA,NY,Ralph-Lincoln Service Center,1652-1654 St. John's Place,Brownsville
N/A,X,NY442,N/A,N/A,N/A,X325,NY,Randall Community Garden (Taylor Soundview Block Association),Randall Avenue,N/A
253,B,NY443,N/A,40.693796,-73.948905,B488,NY,Red Gate Garden,604 Marcy Avenue,Bed-Stuy
53,B,NY444,N/A,40.672562,-74.008692,B126B,NY,Red Hook Farm/Added Value,558 Columbia Street,Red Hook
N/A,B,NY445,N/A,N/A,N/A,B489,NY,Red Shed Garden (GREC),Humbolt Street,N/A
28,M,NY446,N/A,40.72859,-73.978637,M352,NY,Relaxation Garden (Suen Dragon Garden),209 Avenue B,East Village
208,M,NY447,N/A,40.809144,-73.942758,M316,NY,Rev. Linnette C. Williamson Memorial Park,65-67 W. 128th Street,West Harlem
N/A,M,NY448,N/A,N/A,N/A,M071B,NY,RING Garden - Riverside Inwood Neighborhood Garden,1835 Riverside Drive,Inwood
N/A,X,NY449,N/A,N/A,N/A,X335,NY,Risse Street Community Garden (Triangle Park),2 East Mosholu Parkway,N/A
220,X,NY450,N/A,40.842204,-73.876529,X245,NY,River Garden,1086 East 180th Street,West Farms
N/A,M,NY451,N/A,N/A,N/A,M072,NY,Riverside Valley Community Garden,Riverside Park/138th Street,Hamilton Heights
211,X,NY452,N/A,40.839017,-73.922729,NA,NY,Roberto Clemente Community Garden,1272-1280 Shakespeare Avenue,Highbridge
N/A,M,NY453,N/A,N/A,N/A,M375,NY,Rodale Pleasant Park Community Garden,437-39 East 114th Street/448-450 East 115th Street,East Harlem
794,B,NY454,N/A,40.646757,-73.952588,NA,NY,Rogers/Tilden/Veronica Place Block Association,2601-2603 Tilden Avenue.,N/A
2602,M,NY455,N/A,40.723877,-73.97835,M370,NY,Sam & Sadie Koenig Garden,237 E. 7th Street,East Village
326,B,NY456,N/A,40.576242,-73.988189,B490,NY,Santos White Garden,2110 Mermaid Avenue,Coney Island
12901,X,NY457,N/A,40.82331,-73.899259,X332,NY,Schomburg Satellite Academy H.S.,869 E 164th Street,Morrisania
992,Q,NY458,N/A,40.595964,-73.763133,NA,NY,Seagirt Community Garden,3003 Seagirt Boulevard.,Far Rockaway
299,B,NY459,N/A,40.678834,-73.927378,B530,NY,Seasons of Vision,9-11 Rochester Avenue,N/A
2601,M,NY460,N/A,40.722464,-73.980569,M332,NY,Secret Garden,293-297 East 4th Street,East Village
326,B,NY461,N/A,40.575997,-73.986807,NA,NY,Senior Citizens Block Association of Mermaid Avenue,2917-2923 West 20th Street,Coney Island
